rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,codigo_columna,columna_excel,columna_indice_excel,columna_detalle,columna_categoria,columna_subcategoria,columna_sub_subcategoria,columna_nivel_4,columna_nivel_5,columna_niveles,fila_excel
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL01,D,4,TOTAL,TOTAL,,,,,['TOTAL'],11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL02,E,5,RANGO ETARIO - Menor de 15 años,RANGO ETARIO,Menor de 15 años,,,,"['RANGO ETARIO', 'Menor de 15 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL03,F,6,RANGO ETARIO - 15 a 19 años,RANGO ETARIO,15 a 19 años,,,,"['RANGO ETARIO', '15 a 19 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL04,G,7,RANGO ETARIO - 20 a 24 años,RANGO ETARIO,20 a 24 años,,,,"['RANGO ETARIO', '20 a 24 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL05,H,8,RANGO ETARIO - 25 a 29 años,RANGO ETARIO,25 a 29 años,,,,"['RANGO ETARIO', '25 a 29 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL06,I,9,RANGO ETARIO - 30 a 34 años,RANGO ETARIO,30 a 34 años,,,,"['RANGO ETARIO', '30 a 34 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL07,J,10,RANGO ETARIO - 35 a 39 años,RANGO ETARIO,35 a 39 años,,,,"['RANGO ETARIO', '35 a 39 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL08,K,11,RANGO ETARIO - 40 a 44 años,RANGO ETARIO,40 a 44 años,,,,"['RANGO ETARIO', '40 a 44 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL09,L,12,RANGO ETARIO - 45 a 49 años,RANGO ETARIO,45 a 49 años,,,,"['RANGO ETARIO', '45 a 49 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL10,M,13,RANGO ETARIO - 50 a 54 años,RANGO ETARIO,50 a 54 años,,,,"['RANGO ETARIO', '50 a 54 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL11,N,14,RANGO ETARIO - 55 a 59 años,RANGO ETARIO,55 a 59 años,,,,"['RANGO ETARIO', '55 a 59 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL12,O,15,RANGO ETARIO - 60 a 64 años,RANGO ETARIO,60 a 64 años,,,,"['RANGO ETARIO', '60 a 64 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL13,P,16,RANGO ETARIO - 65 a 69 años,RANGO ETARIO,65 a 69 años,,,,"['RANGO ETARIO', '65 a 69 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL14,Q,17,RANGO ETARIO - 70 y más años,RANGO ETARIO,70 y más años,,,,"['RANGO ETARIO', '70 y más años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL15,R,18,Pueblos Originarios,Pueblos Originarios,,,,,['Pueblos Originarios'],11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL16,S,19,Migrantes - Menor de 20 años,Migrantes,Menor de 20 años,,,,"['Migrantes', 'Menor de 20 años']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL17,T,20,Migrantes - 20 años y más,Migrantes,20 años y más,,,,"['Migrantes', '20 años y más']",11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL18,U,21,PV-VIH (personas viviendo con VIH),PV-VIH (personas viviendo con VIH),,,,,['PV-VIH (personas viviendo con VIH)'],11
P1,A,POBLACIÓN EN CONTROL SEGÚN MÉTODO DE REGULACIÓN DE FERTILIDAD,P1010100,D . I . U T con Cobre,COL19,V,22,Identidad de Género - Trans Masculino,Identidad de Género,Trans Masculino,,,,"['Identidad de Género', 'Trans Masculino']",11
