rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,detalle_niveles,fila_excel
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053700,Gestantes primer trimestre embarazo,Gestantes primer trimestre embarazo,13
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053800,Gestantes segundo trimestre embarazo,Gestantes segundo trimestre embarazo,14
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11053900,Gestantes tercer trimestre embarazo,Gestantes tercer trimestre embarazo,15
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11054000,Gestantes trimestre embarazo ignorado,Gestantes trimestre embarazo ignorado,16
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11051200,Gestantes en seguimiento por diagnóstico sífilis,Gestantes en seguimiento por diagnóstico sífilis,17
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11051201,Pareja de gestante con serología reactiva,Pareja de gestante con serología reactiva,18
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11041000,Mujeres que ingresan a maternidad por parto,Mujeres que ingresan a maternidad por parto,19
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11041100,Mujeres que ingresan por aborto,Mujeres que ingresan por aborto,20
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11051500,Mujeres en control ginecológico,Mujeres en control ginecológico,21
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11051300,Recién nacido y lactante para detección de sífilis congénita,Recién nacido y lactante para detección de sífilis congénita,22
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11040200,Personas en control por comercio sexual,Personas en control por comercio sexual,23
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11051400,Personas en control fecundidad,Personas en control fecundidad,24
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11040300,Consultantes por ITS,Consultantes por ITS,25
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11040600,Personas EMP/EMPAM,Personas EMP/EMPAM,26
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11040500,Donantes de sangre,Donantes de sangre,27
A11,A.1,EXAMEN VDRL POR GRUPO DE USUARIOS (USO EXCLUSIVO DE ESTABLECIMIENTOS CON LABORATORIO QUE PROCESAN),11054100,Donantes de órganos y/o tejidos,Donantes de órganos y/o tejidos,28
